sched_debug.cfs_rq:/.min_vruntime.avg,206737.1680976875
sched_debug.cfs_rq:/.min_vruntime.stddev,16973.51221048632
sched_debug.cfs_rq:/.max_vruntime.max,1.0e-06
sched_debug.cfs_rq:/.max_vruntime.min,1.0e-06
sched_debug.cfs_rq:/.max_vruntime.avg,1.0e-06
sched_debug.cfs_rq:/.spread0.max,34681.181915
sched_debug.cfs_rq:/.spread0.min,-9168.72184675
sched_debug.cfs_rq:/.spread0.avg,5907.3548036875
sched_debug.cfs_rq:/.spread0.stddev,16973.380004383012
sched_debug.cfs_rq:/.nr_running.max,1.0
sched_debug.cfs_rq:/.nr_running.min,0.25
sched_debug.cfs_rq:/.nr_running.avg,0.5625
sched_debug.cfs_rq:/.nr_running.stddev,0.3582531754730548
sched_debug.cfs_rq:/.load.max,573840.0
sched_debug.cfs_rq:/.load.min,38408.75
sched_debug.cfs_rq:/.load.avg,232609.8125
sched_debug.cfs_rq:/.load.stddev,224385.8915791986
sched_debug.cfs_rq:/.runnable_weight.max,485476.5
sched_debug.cfs_rq:/.runnable_weight.min,9066.5
sched_debug.cfs_rq:/.runnable_weight.avg,173071.9375
sched_debug.cfs_rq:/.runnable_weight.stddev,200613.32161723787
sched_debug.cfs_rq:/.load_avg.max,7411.75
sched_debug.cfs_rq:/.load_avg.min,249.0
sched_debug.cfs_rq:/.load_avg.avg,2318.6875
sched_debug.cfs_rq:/.load_avg.stddev,2961.1144531120603
sched_debug.cfs_rq:/.runnable_load_avg.max,405.5
sched_debug.cfs_rq:/.runnable_load_avg.min,8.75
sched_debug.cfs_rq:/.runnable_load_avg.avg,119.125
sched_debug.cfs_rq:/.runnable_load_avg.stddev,167.36980392329716
sched_debug.cfs_rq:/.util_avg.max,826.25
sched_debug.cfs_rq:/.util_avg.min,230.0
sched_debug.cfs_rq:/.util_avg.avg,420.625
sched_debug.cfs_rq:/.util_avg.stddev,240.48127149845746
sched_debug.cfs_rq:/.util_est_enqueued.max,457.5
sched_debug.cfs_rq:/.util_est_enqueued.min,0.25
sched_debug.cfs_rq:/.util_est_enqueued.avg,122.25
sched_debug.cfs_rq:/.util_est_enqueued.stddev,194.28736530262915
sched_debug.rt_rq:.rt_runtime.max,950.0
sched_debug.rt_rq:.rt_runtime.min,950.0
sched_debug.rt_rq:.rt_runtime.avg,950.0
sched_debug.dl_rq:.dl_bw->bw.max,996147.0
sched_debug.dl_rq:.dl_bw->bw.min,996147.0
sched_debug.dl_rq:.dl_bw->bw.avg,996147.0
uptime.boot,5124.22
uptime.idle,17857.18
fsmark.time.user_time,2.93
fsmark.time.system_time,23.92
fsmark.time.percent_of_cpu_this_job_got,14
fsmark.time.elapsed_time,188.17
fsmark.time.elapsed_time.max,188.17
fsmark.time.maximum_resident_set_size,3208
fsmark.time.minor_page_faults,44849
fsmark.time.voluntary_context_switches,388128
fsmark.time.involuntary_context_switches,40261
fsmark.time.file_system_inputs,4824
fsmark.time.file_system_outputs,819480
fsmark.time.page_size,4096
fsmark.files_per_sec,566.2
fsmark.app_overhead,9193328.0
interrupts.CPU0.0:IO-APIC.2-edge.timer,0
