kmsg.timestamp:last,4934.963682
softirqs.time,1570815211.4870255,1570815400.6808653
sched_debug.cpu.cpu_load[0].max,72.0,399.0,846.0,515.0
sched_debug.cpu.cpu_load[0].avg,36.0,111.75,212.75,129.0
sched_debug.cpu.cpu_load[0].stddev,25.465663156493687,166.9975673475515,365.6127562052506,222.85757783840333
sched_debug.cpu.cpu_load[1].max,141.0,367.0,664.0,497.0
sched_debug.cpu.cpu_load[1].min,48.0,1.0,0.0,4.0
sched_debug.cpu.cpu_load[1].avg,78.0,201.25,168.25,179.5
sched_debug.cpu.cpu_load[1].stddev,36.78994427829431,131.98555792206963,286.2327505719777,188.41510024411525
sched_debug.cpu.cpu_load[2].max,235.0,286.0,429.0,524.0
sched_debug.cpu.cpu_load[2].min,66.0,3.0,8.0,12.0
sched_debug.cpu.cpu_load[2].avg,121.75,164.75,124.25,237.0
sched_debug.cpu.cpu_load[2].stddev,66.84824231047514,105.74349861811837,176.74328134330878,206.33346795902986
sched_debug.cpu.cpu_load[3].max,282.0,411.0,265.0,897.0
sched_debug.cpu.cpu_load[3].min,95.0,7.0,13.0,16.0
sched_debug.cpu.cpu_load[3].avg,166.25,164.0,108.25,289.0
sched_debug.cpu.cpu_load[3].stddev,70.78620981518928,150.96853976905254,104.70762866190792,357.5632811125885
sched_debug.cpu.cpu_load[4].max,257.0,694.0,211.0,1024.0
sched_debug.cpu.cpu_load[4].min,91.0,13.0,9.0,14.0
sched_debug.cpu.cpu_load[4].avg,177.75,210.5,110.0,294.25
sched_debug.cpu.cpu_load[4].stddev,60.40436656401588,280.2217871615268,100.00499987500625,422.7188042895655
sched_debug.cpu.avg_idle.max,801706.0,1000000.0,1000000.0,1000000.0
sched_debug.cpu.avg_idle.min,324258.0,871799.0,972166.0,787588.0
sched_debug.cpu.avg_idle.avg,544712.0,967949.75,987482.25,922884.5
sched_debug.cpu.avg_idle.stddev,169866.21902544366,55512.66139528441,12673.194790087462,87403.17340205675
sched_debug.cpu.max_idle_balance_cost.max,500000.0,500000.0,500000.0,500000.0
sched_debug.cpu.max_idle_balance_cost.min,500000.0,500000.0,500000.0,500000.0
sched_debug.cpu.max_idle_balance_cost.avg,500000.0,500000.0,500000.0,500000.0
sched_debug.cfs_rq:/.MIN_vruntime.max,1.0e-06,1.0e-06,1.0e-06,1.0e-06
sched_debug.cfs_rq:/.MIN_vruntime.min,1.0e-06,1.0e-06,1.0e-06,1.0e-06
sched_debug.cfs_rq:/.MIN_vruntime.avg,1.0e-06,1.0e-06,1.0e-06,1.0e-06
sched_debug.cfs_rq:/.min_vruntime.max,225086.369857,232733.347692,239342.301565,244884.600896
sched_debug.cfs_rq:/.min_vruntime.min,182966.330977,188821.953707,193536.95171,201325.639524
sched_debug.cfs_rq:/.min_vruntime.avg,197310.56229225,203833.6301145,209875.90501175,215928.57497225
sched_debug.cfs_rq:/.min_vruntime.stddev,16393.644062583728,17031.94840823521,17477.995799475837,16990.460571650507
sched_debug.cfs_rq:/.max_vruntime.max,1.0e-06,1.0e-06,1.0e-06,1.0e-06
sched_debug.cfs_rq:/.max_vruntime.min,1.0e-06,1.0e-06,1.0e-06,1.0e-06
sched_debug.cfs_rq:/.max_vruntime.avg,1.0e-06,1.0e-06,1.0e-06,1.0e-06
sched_debug.cfs_rq:/.spread0.max,32541.106393,34546.410538,35516.144117,36121.066612
sched_debug.cfs_rq:/.spread0.min,-9582.803442,-9364.983447,-10289.205738,-7437.89476
sched_debug.cfs_rq:/.spread0.avg,4767.350335499999,5646.692960499999,6050.184240250001,7165.1916785
sched_debug.cfs_rq:/.spread0.stddev,16393.342901369044,17031.94840823521,17477.831813792247,16990.396894135545
sched_debug.cfs_rq:/.nr_running.max,1.0,1.0,1.0,1.0
sched_debug.cfs_rq:/.nr_running.min,1.0,0.0,0.0,0.0
sched_debug.cfs_rq:/.nr_running.avg,1.0,0.5,0.5,0.25
sched_debug.cfs_rq:/.nr_running.stddev,0.0,0.5,0.5,0.4330127018922193
sched_debug.cfs_rq:/.load.max,354106.0,706409.0,680333.0,554512.0
sched_debug.cfs_rq:/.load.min,153635.0,0.0,0.0,0.0
sched_debug.cfs_rq:/.load.avg,263506.25,280885.25,247419.75,138628.0
sched_debug.cfs_rq:/.load.stddev,78470.44509041286,298925.86289695225,280036.518977771,240110.73935165833
sched_debug.cfs_rq:/.runnable_weight.max,79518.0,706409.0,668580.0,487399.0
sched_debug.cfs_rq:/.runnable_weight.min,36266.0,0.0,0.0,0.0
sched_debug.cfs_rq:/.runnable_weight.avg,47943.25,278013.25,244481.5,121849.75
sched_debug.cfs_rq:/.runnable_weight.stddev,18244.0092821589,297655.5313255366,275503.7879716901,211049.95788956582
sched_debug.cfs_rq:/.load_avg.max,13947.0,6174.0,5630.0,3896.0
sched_debug.cfs_rq:/.load_avg.min,781.0,74.0,59.0,82.0
sched_debug.cfs_rq:/.load_avg.avg,4461.75,1889.75,1507.25,1416.0
sched_debug.cfs_rq:/.load_avg.stddev,5487.01099757418,2497.068118313956,2380.8537728092415,1479.524923750864
sched_debug.cfs_rq:/.runnable_load_avg.max,76.0,396.0,667.0,483.0
sched_debug.cfs_rq:/.runnable_load_avg.min,35.0,0.0,0.0,0.0
sched_debug.cfs_rq:/.runnable_load_avg.avg,46.0,128.25,180.5,121.75
sched_debug.cfs_rq:/.runnable_load_avg.stddev,17.334935823359714,161.79674749512117,281.7769507961927,208.57058157851506
sched_debug.cfs_rq:/.util_avg.max,1379.0,640.0,606.0,680.0
sched_debug.cfs_rq:/.util_avg.min,745.0,62.0,61.0,52.0
sched_debug.cfs_rq:/.util_avg.avg,1021.25,226.25,214.25,220.75
sched_debug.cfs_rq:/.util_avg.stddev,229.80032093102045,239.90453830638552,226.6422014983088,265.5780252581151
sched_debug.cfs_rq:/.util_est_enqueued.max,193.0,553.0,541.0,543.0
sched_debug.cfs_rq:/.util_est_enqueued.min,1.0,0.0,0.0,0.0
sched_debug.cfs_rq:/.util_est_enqueued.avg,58.75,150.5,144.0,135.75
sched_debug.cfs_rq:/.util_est_enqueued.stddev,79.12766583186945,233.2428991416459,229.65299910952612,235.1258971274751
sched_debug.rt_rq:.rt_runtime.max,950.0,950.0,950.0,950.0
sched_debug.rt_rq:.rt_runtime.min,950.0,950.0,950.0,950.0
sched_debug.rt_rq:.rt_runtime.avg,950.0,950.0,950.0,950.0
sched_debug.dl_rq:.dl_bw->bw.max,996147.0,996147.0,996147.0,996147.0
sched_debug.dl_rq:.dl_bw->bw.min,996147.0,996147.0,996147.0,996147.0
sched_debug.dl_rq:.dl_bw->bw.avg,996147.0,996147.0,996147.0,996147.0
uptime.time,1570815400.6799414
uptime.boot,5124.22
uptime.idle,17857.18
fsmark.time.user_time,2.93
fsmark.time.system_time,23.92
fsmark.time.percent_of_cpu_this_job_got,14
fsmark.time.elapsed_time,188.17
fsmark.time.maximum_resident_set_size,3208
fsmark.time.minor_page_faults,44849
fsmark.time.voluntary_context_switches,388128
fsmark.time.involuntary_context_switches,40261
fsmark.time.file_system_inputs,4824
fsmark.time.file_system_outputs,819480
fsmark.time.page_size,4096
diskstats.time,1570815211,1570815212,1570815213,1570815214,1570815215,1570815216,1570815217,1570815218,1570815219,1570815220,1570815221,1570815222,1570815223,1570815224,1570815225,1570815226,1570815227,1570815228,1570815229,1570815230,1570815231,1570815232,1570815233,1570815234,1570815235,1570815236,1570815237,1570815238,1570815239,1570815240,1570815241,1570815242,1570815243,1570815244,1570815245,1570815246,1570815247,1570815248,1570815249,1570815250,1570815251,1570815252,1570815253,1570815254,1570815255,1570815256,1570815257,1570815258,1570815259,1570815260,1570815261,1570815262,1570815263,1570815264,1570815265,1570815266,1570815267,1570815268,1570815269,1570815270,1570815271,1570815272,1570815273,1570815274,1570815275,1570815276,1570815277,1570815278,1570815279,1570815280,1570815281,1570815282,1570815283,1570815284,1570815285,1570815286,1570815287,1570815288,1570815289,1570815290,1570815291,1570815292,1570815293,1570815294,1570815295,1570815296,1570815297,1570815298,1570815299,1570815300,1570815301,1570815302,1570815303,1570815304,1570815305,1570815306,1570815307,1570815308,1570815309,1570815310,1570815312,1570815313,1570815314,1570815315,1570815316,1570815317,1570815318,1570815319,1570815320,1570815321,1570815322,1570815323,1570815324,1570815325,1570815326,1570815327,1570815328,1570815329,1570815330,1570815331,1570815332,1570815333,1570815334,1570815335,1570815336,1570815337,1570815338,1570815339,1570815340,1570815341,1570815342,1570815343,1570815344,1570815345,1570815346,1570815347,1570815348,1570815349,1570815350,1570815351,1570815352,1570815353,1570815354,1570815355,1570815356,1570815357,1570815358,1570815359,1570815360,1570815361,1570815362,1570815363,1570815364,1570815365,1570815366,1570815367,1570815368,1570815369,1570815370,1570815371,1570815372,1570815373,1570815374,1570815375,1570815376,1570815377,1570815378,1570815379,1570815380,1570815381,1570815382,1570815383,1570815384,1570815385,1570815386,1570815387,1570815388,1570815389,1570815390,1570815391,1570815392,1570815393,1570815394,1570815395,1570815396,1570815397,1570815398,1570815399,1570815400
fsmark.files_per_sec,566.2
fsmark.app_overhead,9193328.0
interrupts.time,1570815211.4769661,1570815400.6789293
interrupts.CPU0.0:IO-APIC.2-edge.timer,30,30
interrupts.0:IO-APIC.2-edge.timer,30,30
interrupts.CPU2.1:IO-APIC.1-edge.i8042,9,9
interrupts.1:IO-APIC.1-edge.i8042,9,9
interrupts.CPU1.12:IO-APIC.12-edge.i8042,158,158
interrupts.12:IO-APIC.12-edge.i8042,158,158
interrupts.CPU3.15:IO-APIC.15-edge.ata_piix,5028,5216
interrupts.15:IO-APIC.15-edge.ata_piix,5028,5216
interrupts.CPU1.18:IO-APIC.18-fasteoi.vmwgfx,85,88
interrupts.CPU2.18:IO-APIC.18-fasteoi.vmwgfx,58,58
interrupts.18:IO-APIC.18-fasteoi.vmwgfx,143,146
interrupts.CPU3.19:IO-APIC.19-fasteoi.enp0s3,131929,132188
interrupts.19:IO-APIC.19-fasteoi.enp0s3,131929,132188
interrupts.CPU1.20:IO-APIC.20-fasteoi.vboxguest,3,3
interrupts.20:IO-APIC.20-fasteoi.vboxguest,3,3
interrupts.CPU0.21:IO-APIC.21-fasteoi.ahci[0000:00:0d.0],snd_intel8x0,13302,13302
interrupts.CPU2.21:IO-APIC.21-fasteoi.ahci[0000:00:0d.0],snd_intel8x0,387414,481411
interrupts.21:IO-APIC.21-fasteoi.ahci[0000:00:0d.0],snd_intel8x0,400716,494713
interrupts.CPU0.22:IO-APIC.22-fasteoi.ohci_hcd:usb1,26,26
interrupts.22:IO-APIC.22-fasteoi.ohci_hcd:usb1,26,26
interrupts.CPU0.LOC:Local_timer_interrupts,224500,262024
interrupts.CPU1.LOC:Local_timer_interrupts,217732,254370
interrupts.CPU2.LOC:Local_timer_interrupts,242510,281612
interrupts.CPU3.LOC:Local_timer_interrupts,229562,261892
interrupts.LOC:Local_timer_interrupts,914304,1059898
interrupts.CPU0.RES:Rescheduling_interrupts,183148,219584
interrupts.CPU1.RES:Rescheduling_interrupts,197579,235268
interrupts.CPU2.RES:Rescheduling_interrupts,180724,210434
interrupts.CPU3.RES:Rescheduling_interrupts,170528,206474
interrupts.RES:Rescheduling_interrupts,731979,871760
interrupts.CPU0.CAL:Function_call_interrupts,332081,417854
interrupts.CPU1.CAL:Function_call_interrupts,314586,375699
interrupts.CPU2.CAL:Function_call_interrupts,166661,240187
interrupts.CPU3.CAL:Function_call_interrupts,294713,356980
interrupts.CAL:Function_call_interrupts,1108041,1390720
interrupts.CPU0.TLB:TLB_shootdowns,13943,14059
interrupts.CPU1.TLB:TLB_shootdowns,13788,13990
interrupts.CPU2.TLB:TLB_shootdowns,20850,21059
interrupts.CPU3.TLB:TLB_shootdowns,15112,15260
interrupts.TLB:TLB_shootdowns,63693,64368
interrupts.CPU0.MCP:Machine_check_polls,16,17
interrupts.CPU1.MCP:Machine_check_polls,16,17
interrupts.CPU2.MCP:Machine_check_polls,16,17
interrupts.CPU3.MCP:Machine_check_polls,16,17
interrupts.MCP:Machine_check_polls,64,68
time.user_time,2.93
time.system_time,23.92
time.percent_of_cpu_this_job_got,14
time.elapsed_time,188.17
time.maximum_resident_set_size,3208
time.minor_page_faults,44849
time.voluntary_context_switches,388128
time.involuntary_context_switches,40261
time.file_system_inputs,4824
time.file_system_outputs,819480
time.page_size,4096
dmesg.timestamp:last,4934.963682
vmstat.procs.r,26,1,0,0,0,25,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,4,1,0,0,0,0,0,1,0,1,2,1,0,0,0,0,0,3,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,2,0,0,1,0,32,1,0,1,2,0,0,0,2,0,0,0,0,4,0,2,1,0,4,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,9,4,5,0,1,0,4,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,10,0,0,0,13,0,2,27,0,0,1,1,2,0,2,0,0,0,0,8,1,3,0,12,1,3,4,1,1,0,0
vmstat.procs.b,0,0,28,2,2,7,2,2,2,4,3,2,2,4,2,2,3,31,2,3,3,4,2,3,29,2,4,2,3,12,2,4,29,3,2,2,2,16,7,7,2,22,3,25,3,27,3,2,2,2,3,3,2,2,15,3,2,3,3,2,3,2,2,2,3,3,2,2,1,19,2,17,2,2,2,3,3,9,2,3,3,33,3,33,3,3,3,20,32,3,2,3,0,2,3,2,3,17,4,23,2,3,2,2,5,10,21,2,5,26,0,2,3,2,2,2,3,2,3,3,2,14,3,3,3,5,27,19,3,2,15,14,14,11,8,1,2,2,3,14,0,30,32,3,3,3,3,2,3,28,4,3,3,30,3,3,2,27,2,1,22,22,12,0,3,1,0,2,3,2,3,2,2,3,2,2,3,2,16,3,3,3,0,2,2,2,2,0,2,0
